GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results

Z:\2013\tretiakova_irina\RUN2.B
Created: Wed Dec 04 16:38:55 2013

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STDGJ-03,STDGJ-04,610-02,91500-02,MT-02,INT1-13,INT1-14C,INT1-14R,INT1-15,INT1-16,INT1-17,INT1-18C,INT1-18R,INT1-19,INT1-20,INT1-21C,INT1-21RI,INT1-22C,INT1-22R,STDGJ-05,STDGJ-06
Pb206,3.18,3.13,12.95,1.69,1.44,5.51,4.58,2.46,2.47,4.96,19.99,6.68,9.38,1.76,3.59,6.72,12.06,10.40,29.50,3.17,3.15
Pb207,0.22,0.22,12.92,0.15,0.11,0.78,0.30,0.17,0.31,0.67,4.53,1.31,1.72,0.11,0.22,0.86,1.51,2.39,5.38,0.22,0.22
Pb208,0.039,0.034,12.90,0.090,0.18,0.41,0.61,0.21,0.29,0.34,20.71,0.50,0.33,0.20,0.19,0.88,1.08,0.43,0.98,0.037,0.035
Th232,0.56,0.55,14.81,0.91,2.80,2.53,17.93,5.51,1.64,2.10,564.78,2.26,1.60,6.18,5.84,5.65,7.46,1.66,7.93,0.56,0.55
U238,8.68,8.62,14.98,2.54,3.21,4.86,19.13,10.66,1.99,4.51,68.82,4.03,5.84,7.98,16.03,5.53,10.21,5.11,25.41,8.70,8.73

GLITTER!: Minimum detection limits (99% confidence).
Element,STDGJ-03,STDGJ-04,610-02,91500-02,MT-02,INT1-13,INT1-14C,INT1-14R,INT1-15,INT1-16,INT1-17,INT1-18C,INT1-18R,INT1-19,INT1-20,INT1-21C,INT1-21RI,INT1-22C,INT1-22R,STDGJ-05,STDGJ-06
P31,6.69,6.41,6.92,5.33,5.41,3.52,4.42,5.65,6.08,3.56,633.25,4.52,4.74,5.23,4.73,5.47,5.22,5.37,5.60,6.32,6.08
Ca43,40.53,43.22,46.80,43.04,38.60,28.35,34.64,37.98,50.08,22.11,4687.26,42.77,40.72,40.12,36.43,36.85,33.67,37.23,39.51,43.31,43.83
Ti49,0.207,0.397,0.403,0.259,0.241,0.261,0.201,0.342,0.411,0.199,31.62,0.214,0.249,0.334,0.240,0.121,0.237,0.377,0.126,0.384,0.310
Y89,0.00537,0.00728,<0.00000,<0.00000,<0.00000,0.00500,0.00825,0.00820,0.00869,<0.00000,0.732,0.00554,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00874,0.00651,<0.00000,<0.00000
