GLITTER! 4.4 [trunk]: Laser Ablation Analysis Results

Z:\2013\tretiakova_irina\RUN3.B
Created: Wed Dec 04 18:19:03 2013

All values are reported in ppm

GLITTER!: Trace Element Concentrations MDL filtered.
Element,STDGJ-05,STDGJ-06,610-03,91500-03,INT1-23,INT1-23R,INT1-24C,INT1-24R,INT1-25C,INT1-25R,INT1-26,INT1-27,INT1-28,INT1-29,INT1-30,INT1-31,INT1-32,INT1-33,INT1-34,STDGJ-07,STDGJ-08
Lu175,0.41,0.41,14.37,0.39,2.02,0.55,2.56,1.62,0.70,0.43,2.24,1.84,1.35,3.55,1.37,1.42,182.81,1.53,1.80,0.42,0.42
Hf177,236.79,236.79,14.18,171.54,409.05,399.37,298.03,343.30,321.92,315.37,321.62,323.28,311.54,275.23,297.36,331.20,544.68,356.87,319.80,236.80,236.79
Hf178,237.38,237.60,14.15,171.64,407.93,396.65,298.47,343.76,321.13,316.74,322.23,323.92,309.25,277.31,299.40,332.68,557.64,356.10,321.79,237.28,236.93
Ta181,0.023,0.021,15.09,0.018,0.091,0.021,0.40,0.16,0.064,0.027,0.038,0.046,0.043,0.058,0.050,0.13,920.02,0.027,0.056,0.023,0.024
Pb204,0.85,0.77,14.64,0.58,0.78,0.66,1.05,0.78,0.66,0.63,0.61,0.64,0.71,0.64,0.60,0.72,229.94,0.71,0.69,0.84,0.78
Pb206,3.20,3.19,12.95,1.63,35.20,5.73,16.09,18.43,16.67,5.26,1.45,1.63,3.98,1.96,4.99,8.63,224.84,2.28,4.39,3.21,3.21
Pb207,0.22,0.22,12.91,0.14,6.32,0.76,2.22,2.52,2.43,0.96,0.11,0.12,0.52,0.16,0.64,1.11,25.56,0.18,0.28,0.22,0.22
Pb208,0.037,0.036,12.90,0.087,0.36,0.77,1.07,0.97,0.62,0.39,0.21,0.21,0.36,0.30,0.35,0.53,219.90,0.13,0.24,0.037,0.036
Th232,0.56,0.56,14.80,0.89,1.65,4.49,12.72,8.84,3.56,2.01,5.16,4.95,2.42,8.48,2.09,3.66,5383.35,1.74,5.46,0.56,0.57
U238,8.72,8.76,14.98,2.43,21.44,4.10,17.82,16.64,12.74,3.14,5.61,5.46,3.25,7.67,3.98,7.58,775.58,4.56,14.80,8.76,8.82

GLITTER!: Minimum detection limits (99% confidence).
Element,STDGJ-05,STDGJ-06,610-03,91500-03,INT1-23,INT1-23R,INT1-24C,INT1-24R,INT1-25C,INT1-25R,INT1-26,INT1-27,INT1-28,INT1-29,INT1-30,INT1-31,INT1-32,INT1-33,INT1-34,STDGJ-07,STDGJ-08
P31,6.68,6.52,6.77,5.41,5.53,5.07,5.03,4.33,4.67,5.19,4.92,4.77,4.38,5.35,4.98,4.83,1727.79,5.09,4.95,6.83,6.95
Ca43,43.08,44.25,52.72,39.36,42.01,39.14,33.43,31.19,34.48,35.50,34.16,33.81,32.38,35.95,34.60,34.33,13494.48,40.49,34.48,48.37,44.67
Ti49,0.386,0.316,0.251,0.220,<0.00000,0.389,0.220,<0.00000,<0.00000,0.248,0.218,0.299,0.137,0.285,0.221,0.363,93.87,0.300,0.320,0.348,0.214
Y89,0.00751,<0.00000,<0.00000,0.00896,0.00437,0.00409,0.00693,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00353,0.00599,0.00697,0.00564,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000
Zr91,0.105,<0.00000,<0.00000,0.0615,0.0387,0.0628,0.0501,0.0817,<0.00000,0.0507,<0.00000,<0.00000,0.0442,0.0840,0.0618,<0.00000,<0.00000,<0.00000,<0.00000,0.100,0.109
Zr92,0.0171,0.0235,<0.00000,0.0259,0.0199,<0.00000,<0.00000,0.0225,<0.00000,0.0185,<0.00000,<0.00000,0.0114,0.0137,0.0318,0.0288,7.80,<0.00000,0.0133,0.0183,0.0251
Nb93,<0.00000,0.00575,0.00590,0.00633,<0.00000,0.00647,0.00632,<0.00000,<0.00000,<0.00000,0.00993,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,1.56,<0.00000,0.00461,0.0168,0.00616
La139,0.00634,0.00753,0.0118,0.00829,<0.00000,0.00599,0.00478,<0.00000,<0.00000,<0.00000,0.00581,<0.00000,<0.00000,0.00506,0.00679,0.00477,2.36,0.00377,0.00697,0.00956,0.00658
Ce140,0.00616,0.00422,<0.00000,0.00734,0.00358,<0.00000,0.00656,<0.00000,0.00537,<0.00000,0.00460,<0.00000,<0.00000,<0.00000,<0.00000,0.00731,1.62,<0.00000,0.00338,0.00928,0.00639
Pr141,<0.00000,0.00518,0.00376,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00269,<0.00000,0.00283,<0.00000,<0.00000,0.00674,0.00405,0.00401,<0.00000,0.00710,0.00415,0.00570,0.00784
Nd146,<0.00000,0.0558,0.0530,0.0328,<0.00000,0.0291,0.0284,<0.00000,<0.00000,<0.00000,0.0163,<0.00000,<0.00000,0.0301,<0.00000,0.0164,16.18,0.0366,0.0293,0.0328,<0.00000
Sm147,0.0656,0.0240,<0.00000,0.0264,<0.00000,<0.00000,0.0374,<0.00000,<0.00000,<0.00000,0.0185,<0.00000,<0.00000,<0.00000,0.0376,<0.00000,9.22,<0.00000,0.0272,0.0458,<0.00000
Eu151,0.0187,0.0118,0.00992,0.0106,0.00821,0.00544,0.00920,<0.00000,<0.00000,0.00537,<0.00000,<0.00000,0.00468,<0.00000,0.0141,0.00750,1.85,0.00839,0.00775,0.0168,0.0103
Gd157,0.0219,0.0367,<0.00000,0.0404,<0.00000,<0.00000,0.0233,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0285,9.97,<0.00000,0.0295,0.0233,0.0321
Tb159,0.00711,0.00436,0.00548,0.00480,<0.00000,<0.00000,0.00239,<0.00000,<0.00000,<0.00000,<0.00000,0.00231,<0.00000,<0.00000,<0.00000,0.00338,1.67,<0.00000,<0.00000,0.00587,0.00989
Dy163,0.0135,0.0185,<0.00000,0.0203,<0.00000,<0.00000,0.0269,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,5.01,<0.00000,<0.00000,<0.00000,0.0140
Ho165,0.00583,0.00461,<0.00000,0.00359,0.00277,<0.00000,0.00358,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.00506,<0.00000,<0.00000,<0.00000,0.00621,0.00493
Er166,0.0216,0.0187,0.00958,0.0163,0.0112,<0.00000,0.0145,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,0.0102,<0.00000,<0.00000,<0.00000,0.0206,<0.00000
Tm169,0.00437,0.00423,0.00434,0.00329,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,1.15,<0.00000,<0.00000,0.00737,0.00555
Yb173,0.0478,0.0328,0.0194,0.0208,<0.00000,<0.00000,0.0208,0.0222,<0.00000,<0.00000,<0.00000,<0.00000,0.0259,<0.00000,<0.00000,<0.00000,7.25,<0.00000,<0.00000,0.0294,<0.00000
Lu175,0.00777,0.00532,0.00446,<0.00000,<0.00000,<0.00000,0.00478,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,<0.00000,1.18,<0.00000,<0.00000,0.00338,0.00465
Hf177,0.0221,0.0263,0.0311,0.0204,<0.00000,0.0171,0.0354,<0.00000,<0.00000,0.0169,<0.00000,<0.00000,0.0147,<0.00000,<0.00000,0.0166,8.22,<0.00000,0.0122,0.0236,0.0281
Hf178,0.0317,<0.00000,0.0210,0.0178,<0.00000,0.00813,0.0138,<0.00000,<0.00000,0.0180,0.0137,0.0133,0.0140,0.00842,<0.00000,0.0210,<0.00000,<0.00000,0.0183,0.0195,0.0219
Ta181,0.00561,0.00544,<0.00000,0.00346,<0.00000,0.00353,0.00244,0.00213,<0.00000,<0.00000,0.00242,<0.00000,0.00304,0.00259,<0.00000,0.00243,1.20,<0.00000,0.00252,0.00691,0.00336
Pb204,2.19,2.00,1.73,1.50,2.00,1.65,1.54,1.33,1.65,1.60,1.49,1.43,1.29,1.74,1.49,1.66,559.30,1.73,1.79,2.29,2.02
Pb206,0.0298,0.0215,0.0221,0.0249,0.0142,0.0254,0.0183,0.0206,0.0212,0.0227,0.0288,0.0191,0.0187,0.0225,0.0184,0.0129,6.40,0.0251,<0.00000,0.0184,0.0253
Pb207,0.0227,0.0207,0.0219,0.0156,0.0120,0.0128,0.0155,0.0120,0.0118,0.0146,0.0109,0.0120,0.0160,0.0146,0.0172,0.0155,6.15,0.0180,0.0155,0.0166,0.0214
Pb208,0.00847,0.00886,0.0142,0.00903,0.0106,0.00843,0.0104,0.00680,0.00738,0.00589,0.00731,0.00869,0.00859,0.00828,0.00828,0.00581,2.03,0.00712,0.00930,0.0169,0.0119
Th232,0.0111,0.00537,<0.00000,0.00661,0.00558,0.00523,0.00590,<0.00000,0.00483,0.00667,0.00586,0.00284,0.00451,0.00542,0.00727,0.00295,1.78,0.00571,<0.00000,0.0111,0.00407
U238,0.00731,0.00472,0.00420,0.00318,0.00401,0.00531,0.00367,0.00160,0.00548,0.00415,0.00182,0.00395,0.00362,0.00275,0.00369,0.00317,1.11,0.00355,0.00501,0.00581,0.00357

GLITTER!: Trace element concentrations normalised to chondrite.
Element,STDGJ-05,STDGJ-06,610-03,91500-03,INT1-23,INT1-23R,INT1-24C,INT1-24R,INT1-25C,INT1-25R,INT1-26,INT1-27,INT1-28,INT1-29,INT1-30,INT1-31,INT1-32,INT1-33,INT1-34,STDGJ-07,STDGJ-08
P31,0.0226,0.0204,0.1489,0.00717,0.1567,0.0832,0.298,0.0849,0.1027,0.0422,0.0287,0.0670,0.0847,0.0744,0.0684,0.0836,23.88,0.0691,0.0709,0.0222,0.0202
Ca43,0.0000,0.0000,6.07,0.0000,0.0199,0.0000,0.374,0.0221,0.0119,0.0000,0.0029,0.0090,0.0131,0.0050,0.0000,0.0304,4067.11,0.0132,0.0157,0.0000,0.0000
Ti49,0.00884,0.00770,0.728,0.00744,0.0435,0.01754,2.113,0.540,0.0304,0.02042,0.01044,0.0182,0.0552,0.01514,0.0241,0.0910,176909.48,0.2714,0.01280,0.00865,0.00883
Y89,119.93,119.75,217.78,60.50,359.15,193.30,913.63,479.57,199.39,119.41,317.73,357.92,359.67,811.99,355.34,380.62,172285.75,344.17,458.88,119.86,120.08
Zr91,109939.61,109988.34,88.45,88195.67,88195.67,88195.66,88195.67,88195.67,88195.67,88195.67,88195.67,88195.67,88195.67,88195.67,88195.67,88195.66,88195.67,88195.67,88195.67,110386.91,110594.87
Zr92,62324.88,62370.27,88.45,49831.75,49868.14,49873.22,49810.55,49704.96,49764.87,49947.24,49803.72,49923.98,49871.80,49895.78,49858.90,49816.30,48398.84,49805.04,49847.37,62515.69,62498.38
Nb93,5.04,5.15,1365.33,2.63,52.85,6.06,991.52,309.32,28.38,8.01,14.14,46.97,38.40,16.45,11.31,68.53,1036519.06,11.93,14.68,5.21,5.57
La139,0.0000,0.0000,1198.91,0.0000,71.16,1.157,126.64,34.28,4.90,1.160,12.42,5.58,4.98,0.703,0.398,11.79,2970372.25,10.79,4.16,0.000,0.0000
Ce140,21.07,21.14,466.04,2.419,90.65,18.31,219.34,71.82,25.26,17.18,48.68,24.59,17.23,47.53,9.15,30.29,2874038.50,15.39,16.50,21.33,21.31
Pr141,0.366,0.311,3416.06,0.101,97.95,2.94,258.64,75.34,11.77,2.70,9.52,11.68,5.73,2.30,1.176,13.91,2160615.25,11.18,6.45,0.380,0.291
Nd146,1.184,1.175,638.54,0.350,93.24,4.32,231.25,76.60,12.17,3.43,9.88,15.70,6.74,6.19,3.00,14.10,1312030.13,10.61,8.04,1.091,1.274
Sm147,7.94,8.47,2004.33,1.71,86.46,18.18,275.89,106.07,21.12,9.68,10.74,32.72,19.15,29.98,14.48,22.55,487586.34,18.01,20.83,7.14,8.41
Eu151,12.73,13.18,5195.40,2.45,218.05,5.68,144.76,64.25,19.58,10.20,55.61,24.26,5.71,20.37,2.76,8.00,245613.11,9.32,9.82,13.17,13.08
Gd157,26.44,24.45,1470.59,6.80,86.34,53.24,341.53,146.58,46.93,26.05,25.69,72.00,61.69,118.20,54.51,58.23,242337.55,44.68,64.77,26.26,25.73
Tb159,35.92,35.73,7620.69,13.15,105.17,74.79,405.00,180.49,66.87,38.89,48.90,100.54,98.49,202.69,96.39,103.70,172597.28,77.72,116.91,35.87,35.63
Dy163,57.97,57.42,1188.98,28.42,182.43,115.36,591.60,280.24,106.19,63.68,111.93,174.37,191.60,400.42,186.14,199.84,161794.38,155.61,229.17,57.22,57.65
Ho165,87.18,87.09,5581.67,52.62,304.23,165.01,801.38,404.78,161.66,96.42,234.52,286.18,322.36,693.29,312.71,337.50,151406.84,283.09,394.66,87.21,87.76
Er166,130.29,129.58,1859.44,95.22,510.92,226.62,1087.88,589.63,233.22,140.96,464.76,455.62,484.06,1131.88,487.42,528.33,152694.61,474.74,628.87,127.06,129.72
Tm169,188.28,190.66,12752.82,166.58,865.60,301.92,1463.13,848.19,336.70,208.07,847.36,733.87,705.27,1701.51,705.82,768.18,166303.00,723.70,927.30,188.51,189.03
Yb173,265.36,264.05,1931.45,254.96,1293.48,383.42,1865.15,1098.85,455.13,279.13,1317.03,1085.11,925.42,2356.58,929.75,991.70,169611.03,1001.83,1224.51,261.31,268.12
Lu175,351.24,353.96,12257.22,331.41,1727.62,463.67,2182.76,1374.72,596.16,360.49,1923.90,1571.85,1144.99,3050.49,1170.48,1206.86,154940.28,1309.65,1545.35,355.66,356.85
Hf177,43583.26,43583.26,2558.66,31262.44,74550.17,72788.66,54303.87,62557.10,58671.11,57477.05,58615.04,58915.31,56769.97,50159.91,54193.82,60355.69,97038.94,65039.93,58283.15,43583.26,43583.26
Hf178,43774.20,43814.82,2558.66,31337.45,74483.73,72423.16,54486.55,62758.08,58634.33,57832.96,58835.34,59141.51,56458.39,50632.71,54665.14,60738.93,100225.08,65017.52,58753.96,43754.46,43690.15
Ta181,20.63,18.36,18869.24,15.79,104.67,18.83,475.54,181.38,71.86,27.39,39.09,46.41,36.48,64.38,53.86,151.03,1154116.50,23.87,60.79,20.16,21.19
Pb204,0.00,0.00,114.82,0.00,0.00,0.00,1.25,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,167.85,0.00,0.00,0.00,0.00
Pb206,28.70,28.67,114.82,14.44,314.98,51.12,143.46,164.47,149.06,46.93,12.79,14.35,35.19,17.36,44.46,76.90,1945.81,20.12,39.06,28.81,28.84
Pb207,1.880,1.867,114.82,1.206,56.58,6.71,19.56,22.34,21.71,8.53,0.848,0.929,4.39,1.283,5.61,9.72,195.01,1.477,2.402,1.898,1.902
Pb208,0.268,0.2550,114.82,0.727,3.193,6.82,9.42,8.57,5.53,3.46,1.854,1.796,3.078,2.588,3.095,4.66,1947.25,1.093,2.054,0.262,0.2525
Th232,431.75,426.21,11317.65,682.49,1265.15,3456.34,9785.55,6799.10,2737.52,1545.43,3972.79,3808.99,1853.09,6529.43,1603.22,2809.01,4138612.00,1331.22,4204.63,428.26,437.24
U238,23661.25,23747.09,39918.05,6527.53,57588.47,10995.09,47829.48,44681.28,34204.09,8427.50,15062.63,14654.92,8687.96,20590.76,10686.83,20332.26,2074542.13,12229.28,39749.05,23747.90,23924.32
